epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.40639,1.24347,3.48875,1.33997,0.00633,0.51667,0.05078,0.03247,0.93178,3.41268,1.20343,5e-05,5e-05,5e-05
2,12.083,0.98736,3.25436,1.27015,0.0069,0.49167,0.27924,0.18678,0.89343,3.41505,1.10411,0.000111386,0.000111386,0.000111386
3,14.6369,0.74515,2.84888,1.15231,0.00873,0.49167,0.32122,0.18429,0.92498,3.36266,1.10361,0.000171535,0.000171535,0.000171535
4,17.1559,0.6923,2.09006,1.09766,0.01127,0.49167,0.36809,0.20502,0.84072,3.24995,1.06176,0.000230446,0.000230446,0.000230446
5,19.9416,0.71616,1.6617,1.10141,0.01824,0.46667,0.29379,0.20426,0.89508,3.26721,1.05527,0.00028812,0.00028812,0.00028812
6,22.522,0.66592,1.4544,1.07048,0.03747,0.49167,0.32441,0.23477,0.96661,3.32561,1.07528,0.000344556,0.000344556,0.000344556
7,25.1253,0.66758,1.31694,1.0786,0.96793,0.225,0.31535,0.23819,0.87987,3.11915,1.08068,0.000399755,0.000399755,0.000399755
8,27.6774,0.61792,1.24124,1.05252,1,0.23536,0.34352,0.29735,0.81069,2.92257,0.98971,0.000453716,0.000453716,0.000453716
9,30.2057,0.58405,1.10997,1.02915,0.86158,0.28453,0.34828,0.25529,0.87895,2.80506,1.04715,0.00050644,0.00050644,0.00050644
10,32.979,0.5733,1.10395,1.03038,0.73855,0.26078,0.34212,0.27192,0.88168,2.6856,1.04771,0.000557926,0.000557926,0.000557926
11,35.9046,0.60717,1.13499,1.04226,0.94157,0.29956,0.35906,0.27788,0.94295,2.70573,1.04997,0.000608175,0.000608175,0.000608175
12,38.5343,0.58258,1.0115,1.00282,0.89302,0.25417,0.52,0.38212,0.98087,2.67479,1.07475,0.000657186,0.000657186,0.000657186
13,41.2725,0.5768,1.08388,1.03376,0.90291,0.27481,0.54365,0.3846,1.02189,2.60276,1.09475,0.00070496,0.00070496,0.00070496
14,44.3802,0.57736,0.94621,1.00926,0.98401,0.28034,0.65138,0.45817,1.05932,2.47245,1.11833,0.000751496,0.000751496,0.000751496
15,47.1986,0.55998,0.9209,0.9939,0.8408,0.34582,0.82963,0.64914,0.97017,2.3244,1.07123,0.000796795,0.000796795,0.000796795
16,49.705,0.55866,0.88675,0.98905,0.87568,0.34548,0.8724,0.69172,0.89294,2.26416,1.02113,0.000840856,0.000840856,0.000840856
17,52.4975,0.55107,0.90962,0.98958,0.82409,0.48561,0.90992,0.68715,0.89222,1.82952,1.08717,0.00088368,0.00088368,0.00088368
18,55.0465,0.57743,0.93626,1.00091,0.79973,0.46948,0.91869,0.68702,0.90641,1.88056,1.06853,0.000925266,0.000925266,0.000925266
