epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.134,1.82034,15.8576,1.94917,0.33902,0.16389,0.11963,0.07544,1.58072,12.6175,1.65185,0.09307,7e-05,7e-05
2,22.1279,1.40509,8.70844,1.67961,0.55131,0.31667,0.49235,0.32821,1.80076,7.55512,2.03932,0.0851497,0.000149703,0.000149703
3,30.4187,0.99415,3.71039,1.4148,0.68543,0.3933,0.49948,0.29841,1.65153,7.45629,1.99575,0.0772291,0.000229089,0.000229089
4,38.7408,1.02269,3.36512,1.45219,0.61674,0.59583,0.59166,0.35526,1.60248,6.8229,1.86678,0.0693082,0.000308159,0.000308159
5,46.97,0.94275,3.0487,1.34871,0.76158,0.65131,0.7064,0.41445,1.43489,8.27775,1.61845,0.0613869,0.000386911,0.000386911
6,55.1776,1.02081,3.00642,1.40325,0.57287,0.58722,0.51303,0.30753,1.48506,9.05293,1.46704,0.0534653,0.000465347,0.000465347
7,63.1758,0.91923,2.73746,1.36617,0.64696,0.59167,0.57628,0.37524,1.38026,6.03373,1.5009,0.0455435,0.000543466,0.000543466
8,71.1709,0.91892,2.69954,1.32847,0.5972,0.73438,0.67539,0.46025,1.16099,5.64766,1.4519,0.0376213,0.000621268,0.000621268
9,79.4803,0.92913,2.58439,1.32459,0.72583,0.68848,0.65431,0.41908,1.41877,5.97192,1.534,0.0296988,0.000698754,0.000698754
10,87.8144,0.97013,2.74859,1.40308,0.6205,0.61111,0.60649,0.40416,1.43659,6.1442,1.61874,0.0217759,0.000775922,0.000775922
11,95.7709,0.939,2.55857,1.34688,0.63405,0.72342,0.77103,0.46724,1.37385,5.61792,1.52983,0.0138528,0.000852774,0.000852774
12,105.089,0.91034,2.49033,1.28332,0.87393,0.88195,0.87416,0.53948,1.36709,3.69392,1.40506,0.00592931,0.000929309,0.000929309
13,113.119,0.97263,2.53693,1.37732,0.6421,0.92222,0.79572,0.53877,1.23327,5.30928,1.29576,0.00097624,0.00097624,0.00097624
14,121.028,0.8722,2.28404,1.31145,0.60906,0.64138,0.69126,0.44214,1.39941,6.1027,1.47593,0.00097426,0.00097426,0.00097426
15,128.833,0.91821,2.39453,1.38197,0.6745,0.86364,0.74085,0.52331,1.20956,6.07107,1.4748,0.00097228,0.00097228,0.00097228
16,136.687,0.88273,2.27641,1.28795,0.42997,0.66972,0.52726,0.37283,1.31621,6.42246,1.69945,0.0009703,0.0009703,0.0009703
17,144.457,0.87014,2.19827,1.27328,0.63113,0.76462,0.73783,0.51393,1.24613,4.93152,1.60404,0.00096832,0.00096832,0.00096832
18,152.239,0.87679,2.14517,1.32418,0.53197,0.67923,0.72597,0.49981,1.32111,4.22809,1.46166,0.00096634,0.00096634,0.00096634
19,160.119,0.9356,2.41245,1.37441,0.75024,0.82152,0.82291,0.52916,1.23304,3.05178,1.40871,0.00096436,0.00096436,0.00096436
20,168.069,0.86556,2.21403,1.27678,0.86867,0.78161,0.87625,0.56157,1.23513,3.17181,1.4494,0.00096238,0.00096238,0.00096238
21,176.062,0.85422,2.07682,1.30311,0.76065,0.9163,0.85956,0.5599,1.17558,2.90027,1.30437,0.0009604,0.0009604,0.0009604
22,183.897,0.84681,2.02679,1.28355,0.84417,0.91736,0.9306,0.64969,1.09601,2.54531,1.27087,0.00095842,0.00095842,0.00095842
23,191.871,0.89435,2.19166,1.3377,0.81198,0.875,0.83251,0.60512,1.20525,2.89381,1.39757,0.00095644,0.00095644,0.00095644
24,199.531,0.854,2.05375,1.29421,0.76104,0.86887,0.80309,0.5356,1.21214,3.23884,1.37304,0.00095446,0.00095446,0.00095446
25,207.224,0.87827,2.15624,1.34403,0.79733,0.82222,0.78802,0.54488,1.21244,3.48395,1.4431,0.00095248,0.00095248,0.00095248
26,214.832,0.88124,2.13792,1.33409,0.8758,0.82469,0.91022,0.64123,1.10361,2.89846,1.29962,0.0009505,0.0009505,0.0009505
27,222.511,0.88279,2.10908,1.30643,0.85913,0.86944,0.87902,0.60781,1.08164,2.77314,1.24407,0.00094852,0.00094852,0.00094852
